ID,Echantillon,Compartiment,Phase Manip Conta,Masse pesee (g) ech lyophylise,Equivalent masse humide (g) ,volume extraction (ml),concentration en ng/g d'echantillon lyophylise,,,concentration en ng/g d'echantillon humide,,,,,,
,,,,,,,AO,DTX2,PTX2,AO,DTX2,PTX2,Av DST,SD DST,Av PTX,SD PTX
427,Dino vs bigorneaux Bigorneau vs D. acuta Whole n=5 t=24h expo 1,Bigorneau vs D. acuta,Expo,0.1574,0.5,4.5,26.6,6.0,56.9,8.4,1.9,17.9,10.3,,17.9,
428,Dino vs bigorneaux Bigorneau vs D. caudata Whole n=5 t=24h expo 1,Bigorneau vs D. caudata,Expo,0.1926,0.5,4.5,4.5,0.0,33.3,1.7,0.0,12.8,1.7,,12.8,
429,Dino vs bigorneaux Bigorneau vs D. sacculus Whole n=4 t=24h expo 1,Bigorneau vs D. sacculus,Expo,0.1246,0.5,4.5,13.7,0.0,10.8,3.4,0.0,2.7,3.4,,2.7,
431,Dino vs bigorneaux Bigorneau vs D. acuta Whole n=5 t=96h expo 2,Bigorneau vs D. acuta,Expo,0.1317,0.5,4.5,34.3,8.8,24.3,9.0,2.3,6.4,11.3,,6.4,
432,Dino vs bigorneaux Bigorneau vs D. caudata Whole n=5 t=96h expo 2,Bigorneau vs D. caudata,Expo,0.1455,0.5,4.5,5.6,0.0,24.9,1.6,0.0,7.2,1.6,,7.2,
433,Dino vs bigorneaux Bigorneau vs D. sacculus Whole n=5 t=96h expo 2,Bigorneau vs D. sacculus,Expo,0.1166,0.5,4.5,33.9,0.0,57.1,7.9,0.0,13.3,7.9,,13.3,
435,Dino vs bigorneaux Bigorneau vs D. acuta Whole n=5 t=24h depu 3,Bigorneau vs D. acuta,Depu,0.1132,0.5,4.5,38.7,10.3,17.2,8.8,2.3,3.9,11.1,,3.9,
436,Dino vs bigorneaux Bigorneau vs D. caudata Whole n=5 t=24h depu 3,Bigorneau vs D. caudata,Depu,0.126,0.5,4.5,12.0,0.0,39.4,3.0,0.0,9.9,3.0,,9.9,
437,Dino vs bigorneaux Bigorneau vs D. sacculus Whole n=5 t=24h depu 3,Bigorneau vs D. sacculus,Depu,0.1371,0.5,4.5,23.9,0.0,7.1,6.6,0.0,1.9,6.6,,1.9,
439,Dino vs bigorneaux Bigorneau vs D. acuta Whole n=5 t=96h depu 4,Bigorneau vs D. acuta,Depu,0.137,0.5,4.5,67.2,15.5,0.0,18.4,4.2,0.0,22.6,,0.0,
440,Dino vs bigorneaux Bigorneau vs D. caudata Whole n=5 t=96h depu 4,Bigorneau vs D. caudata,Depu,0.1172,0.5,4.5,19.1,0.0,0.0,4.5,0.0,0.0,4.5,,0.0,
441,Dino vs bigorneaux Bigorneau vs D. sacculus Whole n=4 t=96h depu 4,Bigorneau vs D. sacculus,Depu,0.1159,0.5,4.5,26.7,0.0,0.0,6.2,0.0,0.0,6.2,,0.0,
443,Dino vs bigorneaux Bigorneau vs D. acuta Whole n=4 t=7jrs depu 5,Bigorneau vs D. acuta,Depu,0.1244,0.5,4.5,28.6,0.0,0.0,7.1,0.0,0.0,7.1,,0.0,
444,Dino vs bigorneaux Bigorneau vs D. caudata Whole n=5 t=7jrs depu 5,Bigorneau vs D. caudata,Depu,0.1126,0.5,4.5,26.3,2.9,0.0,5.9,0.7,0.0,6.6,,0.0,
445,Dino vs bigorneaux Bigorneau vs D. sacculus Whole n=5 t=7jrs depu 5,Bigorneau vs D. sacculus,Depu,0.1171,0.5,4.5,31.4,0.0,0.0,7.4,0.0,0.0,7.4,,0.0,
447,DST+PTX vs shrimp Mussel conta Whole Control + n=3 ,Mussel conta,Control + conta,0.064,0.5,4.5,152.2,0.0,794.2,19.5,0.0,101.7,19.5,,101.7,
448,DST+PTX vs shrimp Shrimp Head n=7 t=24h expo ,Shrimp,Expo,0.135,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
449,DST+PTX vs shrimp Shrimp Tail n=7 t=24h expo ,Shrimp,Expo,0.1262,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
450,DST+PTX vs shrimp Shrimp Head n=7 t=96h expo ,Shrimp,Expo,0.1271,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
451,DST+PTX vs shrimp Shrimp Tail n=7 t=96h expo ,Shrimp,Expo,0.1264,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
452,DST+PTX vs shrimp Shrimp Head n=7 t=24h depu ,Shrimp,Depu,0.0929,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
453,DST+PTX vs shrimp Shrimp Tail n=7 t=24h depu ,Shrimp,Depu,0.1308,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
456,DST+PTX vs shrimp Shrimp Head n=7 t=96h depu ,Shrimp,Depu,0.135,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
457,DST+PTX vs shrimp Shrimp Tail n=7 t=96h depu ,Shrimp,Depu,0.1242,0.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
,,,,,,,,,,,,,,,,
,,,,,,LOD,1.8,ug/kg humide,,,,,,,,
,,,,,,LOQ,4.5,ug/kg humide,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
