ID,"Concentration ng/ml extrait MeOH 
(Valeurs dans le vial)",,,,Concentration théorique dans vial (ng/ml),,,,Rendement (%) ,,,
,AO,DTX2,DTX1,PTX2,AO,DTX2,DTX1,PTX2,AO,DTX2,DTX1,PTX2
Bl Prel DST 1,10.9,10.4,9.7,10.4,9.9,10.0,9.9,9.9,110%,103%,98%,106%
Bl Prel DST 2,11.2,10.3,10.0,9.4,9.9,10.0,9.9,9.9,113%,103%,101%,95%
Bl ANA DST 1,10.0,10.2,9.6,6.5,9.9,10.0,9.9,9.9,101%,102%,97%,66%
Bl ANA DST 2,10.4,9.8,9.6,5.8,9.9,10.0,9.9,9.9,105%,97%,97%,59%
459 Control DST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
460 Control DST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
462 Control DST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
391 DST,16.2,17.9,17.6,4.9,9.9,10.0,9.9,9.9,163%,178%,178%,50%
391 bis DST,16.5,15.0,15.1,4.9,9.9,10.0,9.9,9.9,167%,149%,153%,49%
426 DST,13.2,13.5,16.9,6.6,9.9,10.0,9.9,9.9,133%,135%,171%,67%
,,,,,,,,,,,,
<LD (ng/ml) extrait,0.2,0.2,0.2,0.2,,,,,,,,
<LQ (ng/ml) extrait,0.5,0.5,0.5,0.5,,,,,,,,
,,,,,,,,,,,,
,,,,,Concentration théorique de la solution de SPIKE (ng/ml),,,,,,,
,,,,,AO,DTX2,DTX1,PTX2,,,,
,,,,,9.9,10.0,9.9,9.9,,,,
